TOTAL VEHÍCULOS,,TOTAL EMPRESAS,,TOTAL CONTRATOS,,,,,,,,,,
172,,7,,12,,,BÚSQUEDA DE VEHÍCULOS,,,,,,,
,,,,,,,"Buscador (Unit, VIN, Tag):",1F66F5KNXM0A05147,,,,,,
Terminal,Ciudad,Entity ID,Empresa,Contract Number,Cantidad,Contrato viejo ,Vehicle Make,Vehicle Year,Body Type,VIN,Tag,City,Contract,Entity ID
345,Key West,V0026937,Tequesta Carrier,C8892419,12,,FORD,2021,WALK IN P1200,1F66F5KNXM0A05147,66AZGT,Miami Trieste,C8894066,V0019195
331,Miami Trieste,V0019195,Trieste Express,C8894066,26,,,,,,,,,
331,Miami Turnberry,V0025257,Turnberry Trucking,C8894067,16,,,,,,,,,
338,WPB,V0026063,Tamanaco Delivery,C8892686,13,,,,,,,,,
336,Tampa,V0026937,Tequesta Carrier,C8891367,19,,,,,,,,,
302,Atlanta 302,V0028698,Tibidabo Parcel,C8890137,20,,,,,,,,,
307,Atlanta 307,V0028698,Tibidabo Parcel,C8888487,0,,,,,,,,,
302,Atlanta Turnberry,V0025257,Turnberry Trucking,C8889009,19,,,,,,,,,
311,East Point,V0028698,Tibidabo Parcel,C8888098,6,252,,,,,,,,
337,St Petersburg,V0028131,Toppino Shipping,C8891349,20,,,,,,,,,
336,Tampa Turnberry,V0025257,Turnberry Trucking,C8891368,7,,,,,,,,,
302,,V0034706,Lagasca capital Inc,C8892685,14,,,,,,,,,
,,,,,,,,,,,,,,
#,Unit No.,Vehicle Make,Vehicle Year,Body Type,VIN,Tag,City,Contract,Entity ID:,,,,,
3,203736,FREIGHTLINER,2019,STRAIGHT TRUCK,3ALACWFB1KDKR0772,LYEQ18,St Petersburg,C8891349,V0028131,,,,,
4,433034,FORD,2020,WALK IN P1000,1F66F5KN8L0A03234,DY18CA,St Petersburg,C8891349,V0028131,,,,,
5,434052,FORD,2020,WALK IN P1000,1F66F5KN6L0A03233,DY19CA,St Petersburg,C8891349,V0028131,,,,,
6,434973,FREIGHTLINER,2020,WALK IN P1000,4UZAC3EA9LCMK2202,FSRZ69,St Petersburg,C8891349,V0028131,,,,,
7,436160,FORD,2020,WALK IN P1000,1F65F5KN4L0A04795,DY20CA,St Petersburg,C8891349,V0028131,,,,,
8,449391,FORD,2020,WALK IN P1000,1F65F5KN2L0A10143,FSRZ71,St Petersburg,C8891349,V0028131,,,,,
9,501953,FORD,2022,WALK IN P1000,1F65F5KN2N0A08198,FSRZ92,St Petersburg,C8891349,V0028131,,,,,
10,501954,FORD,2022,WALK IN P1000,1F65F5KN4N0A08199,FSRZ91,St Petersburg,C8891349,V0028131,,,,,
11,506989,MORGAN OLSON,2022,WALK IN P1000,1F64F5KN8N0A12462,FSRZ90,St Petersburg,C8891349,V0028131,,,,,
12,538643,FORD,2025,WALK IN P1200,1F66F5KN2S0A02014,FUHK88,St Petersburg,C8891349,V0028131,,,,,
13,538994,FORD,2025,WALK IN P1200,1F66F5KN6S0A02016,FGYQ32,St Petersburg,C8891349,V0028131,,,,,
14,538644,FORD,2025,WALK IN P1200,1F66F5KN8S0A02017,FUHK87,St Petersburg,C8891349,V0028131,,,,,
15,538646,FORD,2025,WALK IN P1200,1F66F5KNXS0A02018,FGYQ73,St Petersburg,C8891349,V0028131,,,,,
16,511866,FORD,2025,WALK IN P1200,1F66F5KN1S0A02019,FPBA27,St Petersburg,C8891349,V0028131,,,,,
1,475856,FORD,2022,BOX P700,1FC3E4KK1NDC11258,24BJUE,Atlanta 302,C8890137,V0028698,,,,,
2,476442,FORD,2021,WALK IN P1000,1F65F5KN4M0A07746,29BQSA,Atlanta 302,C8890137,V0028698,,,,,
3,476443,FORD,2021,WALK IN P1000,1F65F5KN3M0A11917,27BQSA,Atlanta 302,C8890137,V0028698,,,,,
4,205640,FORD,2023,STRAIGHT TRUCK,1FDNF6ANXPDF02661,AJ05WP,Atlanta 302,C8890137,V0028698,,,,,
5,501478,FORD,2022,SPRINTER P350,1FTBW3U85NKA52423,AT24KQ,Atlanta 302,C8890137,V0028698,,,,,
6,501483,FORD,2020,WALK IN P900,1F65F5KNXL0A15090,AT26KQ,Atlanta 302,C8890137,V0028698,,,,,
7,501485,FORD,2020,WALK IN P900,1F65F5KN3L0A15089,AT27KQ,Tampa,C8891367,V0026937,,,,,
8,501486,FORD,2020,WALK IN P900,1F65F5KN4L0A15070,AT29KQ,Atlanta 302,C8890137,V0028698,,,,,
9,205738,FORD,2023,STRAIGHT TRUCK,1FDNF6AN5PDF01997,T2EIXZ,Atlanta 302,C8890137,V0028698,,,,,
10,501481,FORD,2020,WALK IN P1000,1F65F5KNXL0A17275,39DCSM,Atlanta 302,C8890137,V0028698,,,,,
11,501640,FORD,2022,SPRINTER P450,1FTRS4UG4NKA60259,AV06QY,Atlanta 302,C8890137,V0028698,,,,,
12,501487,FORD,2020,WALK IN P700,1F65F5KN8L0A15069,AT28KQ,Atlanta 302,C8890137,V0028698,,,,,
13,501475,FORD,2022,WALK IN P700,1F64F5KN3N0A05841,AT19KQ,Atlanta 302,C8890137,V0028698,,,,,
14,504505,FORD,2022,BOX P1000,1F65F5KN8N0A04785,58DJVM,Atlanta 302,C8890137,V0028698,,,,,
15,504383,FORD,2022,WALK IN P1000,1F65F5KN2N0A21792,65DJVM,Atlanta 302,C8890137,V0028698,,,,,
16,504385,FORD,2022,WALK IN P1000,1F65F5KN0N0A21791,59DJVM,Atlanta 302,C8890137,V0028698,,,,,
17,505322,FORD,2022,WALK IN P1200,1F65F5KN3N0A04788,88DMSQ,St Petersburg,C8891349,V0028131,,,,,
18,505323,FORD,2022,WALK IN P1200,1F65F5KN6N0A04784,87DMSQ,Atlanta 302,C8890137,V0028698,,,,,
19,206457,FREIGHTLINER,2018,STRAIGHT TRUCK,3ALACWFC0JDJP0338,DQ00PU,Atlanta 302,C8890137,V0028698,,,,,
1,474398,FORD,2022,BOX P1000,1FC3E4KK4NDC13974,QTVZ31,,No encontrado,No encontrado,,,,,
2,474399,FORD,2022,BOX P1000,1FC3E4KK6NDC13975,QTVZ33,,No encontrado,No encontrado,,,,,
3,476438,FORD,2021,BOX P1000,1F65F5KN7M0A07742,33BQSA,Tampa,C8891367,V0026937,,,,,
4,476439,FORD,2021,BOX P1000,1F65F5KN9M0A07743,32BQSA,Atlanta Turnberry,C8889009,V0025257,,,,,
5,476441,FORD,2021,WALK IN P1000,1F65F5KN2M0A07745,30BQSA,Atlanta Turnberry,C8889009,V0025257,,,,,
6,478224,FORD,2021,WALK IN P1000,1F65F5KN5M0A12423,03BYXF,Atlanta Turnberry,C8889009,V0025257,,,,,
7,500300,FORD,2022,WALK IN P900,1F64F5KN2N0A05846,AT17KQ,Atlanta Turnberry,C8889009,V0025257,,,,,
8,501480,FORD,2020,BOX P700,1F65F5KNXL0A15154,38DCSM,Atlanta Turnberry,C8889009,V0025257,,,,,
9,504020,FORD,2021,CUTAWAY WITH WALK P1200,1F65F5KN8M0A19009,BX11CP,Atlanta 302,C8890137,V0028698,,,,,
10,504022,FORD,2021,WALK IN P1200,1F66F5KN0M0A19011,BX12CP,Miami Trieste,C8894066,V0019195,,,,,
11,504033,FORD,2022,WALK IN P1200,1F65F5KN2N0A04796,BX78CP,Atlanta 302,C8890137,V0028698,,,,,
12,504384,FORD,2022,WALK IN P1000,1F65F5KN6N0A21794,63DJVM,Miami Trieste,C8894066,V0019195,,,,,
13,504386,FORD,2022,WALK IN P1000,1F65F5KN4N0A21793,61DJVM,Atlanta 302,C8890137,V0028698,,,,,
1,205533,FORD,2022,STRAIGHT TRUCK,1FDNF6AN0NDF09292,78BQSA,East Point,C8888098,V0028698,,,,,
2,536133,FORD,2023,WALK IN P1200,1F66F5KN2P0A03137,DX50QE,East Point,C8888098,V0028698,,,,,
3,536134,FORD,2023,WALK IN P1200,1F66F5KN7P0A03134,DX53QE,East Point,C8888098,V0028698,,,,,
4,536135,FORD,2023,WALK IN P1200,1F66F5KN8P0A03126,DX52QE,East Point,C8888098,V0028698,,,,,
5,536136,FORD,2023,WALK IN P1200,1F66F5KNXP0A03127,DX51QE,East Point,C8888098,V0028698,,,,,
6,536137,FORD,2023,WALK IN P1200,1F66F5KNXP0A03130,DX54QE,East Point,C8888098,V0028698,,,,,
1,202232,FORD,2017,STRAIGHT TRUCK,1FDNF6AY6HDB01927,KY061K,Tampa Turnberry,C8891368,V0025257,,,,,
2,478249,FORD,2021,BOX P1100,1F65F5KN3M0A14087,03BYXI,,No encontrado,No encontrado,,,,,
3,478561,FORD,2021,BOX P1100,1F65F5KN5M0A16696,12BYXQ,Tampa Turnberry,C8891368,V0025257,,,,,
4,500304,FORD,2022,WALK IN P900,1F64F5KN4N0A05850,AT22KQ,Tampa,C8891367,V0026937,,,,,
5,500302,FORD,2022,WALK IN P900,1F64F5KN8N0A05849,AT21KQ,Tampa,C8891367,V0026937,,,,,
6,537999,MORGAN OLSON,2025,WALK IN P1200,1F66F5KN9S0A01796,FFPV02,Tampa Turnberry,C8891368,V0025257,,,,,
7,538000,MORGAN OLSON,2025,WALK IN P1200,1F66F5KN7S0A01103,FFPV04,St Petersburg,C8891349,V0028131,,,,,
8,538001,MORGAN OLSON,2025,WALK IN P1200,1F66F5KN3S0A01101,FFPV01,Tampa Turnberry,C8891368,V0025257,,,,,
9,538002,MORGAN OLSON,2025,WALK IN P1200,1F66F5KN9S0A01104,FFPV03,Tampa Turnberry,C8891368,V0025257,,,,,
10,538278,MORGAN OLSON,2025,WALK IN P1200,1F66F5KN1S0A01792,FSRZ74,Tampa Turnberry,C8891368,V0025257,,,,,
11,538279,MORGAN OLSON,2025,WALK IN P1200,1F66F5KN3S0A01793,FSRZ73,Tampa Turnberry,C8891368,V0025257,,,,,
1,201387,INTERNATIONAL,2007,STRAIGHT TRUCK,1HTMMAAM57H382330,10BDEA,Atlanta Turnberry,C8889009,V0025257,,,,,
2,447872,FORD,2021,BOX P1000,1FDXE4FN2MDC37982,FGYK83,Atlanta Turnberry,C8889009,V0025257,,,,,
3,447874,FORD,2021,WALK IN P1000,1FDXE4FN2MDC36184,FGYK85,Atlanta Turnberry,C8889009,V0025257,,,,,
